nhom,so_cap,so_thang_so_duoc,sl_tb_khong_km,sl_tb_co_km,chenh_lech_trung_vi,ty_so_trung_vi,ty_le_cap_tang,so_cap_nen_0
Gộp toàn panel (KHÔNG dùng được — lẫn khác biệt giữa cửa hàng),,,0.84,1.29,0.45,1.5414,,
Trong cặp cửa hàng × mã hàng,44432,,0.35,0.25,-0.08,0.75,0.3711,28484
Trong cặp VÀ trong tháng ← dùng số này,44432,15,1.17,1.87,0.7,1.5997,0.9333,
Trong cặp và trong tháng · trước 01/2026,29615,8,1.88,2.59,0.71,1.3756,1.0,
Trong cặp và trong tháng · từ 01/2026,23244,7,1.03,1.02,-0.01,0.9889,0.4286,
