product_code_raw,so_dong,ten_trong_file,source
,349,1991111-0048,walls
#N/A,94,,walls
1112318-0014,2,Sữa Tiệt Trùng Vị Cà phê 200ml (4 lốc/thùng),sp_khac
1112512-0102,2,Kem nước trái cây Bulla Splits nhiệt đới vị Cam/Dâu rừng 630g  (5 hộp/ thùng),sp_khac
2001141-00089 2001141-00032 2001141-00131 2001141-00130 2001141-00074 2001141-00086 2001141-00093,1,ALL SKU,walls
010301033,1,KEM ly Cledor Parfait Cookie & Cream 260ml,sp_khac
010404033,1,Sữa tiệt trùng vị Chuối 3 hộp/lốc (200ml*3),sp_khac
010301032,1,KEM ly Cledor Chocolate Parfait 260ml,sp_khac
