bac_giam_gia,so_dong,so_cap,so_thang_so_duoc,sl_tb_khong_km,sl_tb_co_km,chenh_lech,ty_so,xac_suat_co_ban,ty_trong_cap,do_tin_cay
,32076,8572,14,1.17,1.25,0.08,1.069,0.3264,0.09326413595761116,đủ dày
≤10%,4069,3054,11,1.17,1.42,0.25,1.2128,0.389,0.03322779645526651,đủ dày
10–15%,13873,6793,15,1.17,1.58,0.41,1.3545,0.5288,0.07390845491834491,đủ dày
15–20%,45437,17275,15,1.17,1.87,0.7,1.5969,0.494,0.18795356377365058,đủ dày
20–25%,62648,21447,15,1.17,1.56,0.39,1.3371,0.4253,0.2333453014329079,đủ dày
25–30%,14649,9751,15,1.17,2.11,0.94,1.8024,0.3889,0.10609176268346553,đủ dày
>30%,93099,25019,15,1.17,1.67,0.5,1.4242,0.3657,0.2722089847787533,đủ dày
