bang,cot,bang_dich,so_dong_co_khoa,khop_pct,dong_mo_coi_pct,so_gia_tri_mo_coi,dim_duoc_dung_pct,khoa_dim_duy_nhat,canh_bao
dim_distributors,account_channel_id,dim_account_channels,1,100.0,0.0,0,0.79,true,—
dim_distributors,site_domain_id,dim_site_domains,88,100.0,0.0,0,13.87,true,—
dim_distributors,warehouse_key,dim_warehouses,27,100.0,0.0,0,66.67,true,—
dim_employees,account_channel_id,dim_account_channels,4505,100.0,0.0,0,1.57,true,—
dim_employees,site_account_id,dim_site_accounts,4442,100.0,0.0,0,100.0,true,—
dim_locators,sub_inventory_key,dim_sub_inventories,4,100.0,0.0,0,1.06,true,—
dim_product_prices,product_id,dim_products,9085,100.0,0.0,0,26.66,true,—
dim_products,brand_id,dim_product_brands,2540,100.0,0.0,0,0.04,true,—
dim_products,category_id,dim_categories,2364,100.0,0.0,0,27.08,true,—
dim_products,supplier_id,dim_suppliers,1857,100.0,0.0,0,96.83,true,—
dim_stores,account_channel_id,dim_account_channels,331147,100.0,0.0,0,59.06,true,—
dim_stores,distributor_id,dim_distributors,21301,100.0,0.0,0,30.34,true,—
dim_stores,site_domain_id,dim_site_domains,191392,100.0,0.0,0,45.99,true,—
dim_sub_inventories,warehouse_key,dim_warehouses,188,100.0,0.0,0,17.95,true,—
fact_asset_activities,asset_key,dim_assets,0,100.0,0.0,0,0.0,true,không có dòng nào mang khoá này
fact_asset_audits,asset_id,dim_assets,216978,100.0,0.0,0,46.95,true,—
fact_asset_audits,shop_id,dim_stores,216978,100.0,0.0,0,3.45,true,—
fact_asset_inventory,distributor_key,dim_distributors,20178,100.0,0.0,0,25.84,true,—
